09:22:34.866 23.1C | 3.00 V
09:25:10.451 23.1C | 2.99 V
09:25:11.677 23.1C | 3.00 V
09:25:12.902 23.1C | 3.01 V
09:25:14.146 23.1C | 2.99 V
09:25:15.353 23.1C | 3.00 V
09:25:16.582 23.1C | 3.01 V
09:25:17.823 23.1C | 2.99 V
09:25:19.028 23.1C | 3.00 V
09:25:20.252 23.1C | 3.01 V
09:25:21.484 23.1C | 3.00 V
09:25:22.702 23.1C | 2.99 V
09:25:23.926 23.1C | 3.00 V
09:25:25.166 23.1C | 2.99 V
09:25:26.376 23.1C | 2.99 V
09:25:27.602 23.1C | 3.00 V
09:25:28.827 23.1C | 2.99 V
09:25:30.053 23.1C | 2.99 V
09:25:31.277 23.1C | 3.00 V
09:25:32.503 23.1C | 2.99 V
09:25:33.737 23.1C | 2.99 V
09:25:34.963 23.1C | 3.00 V
09:25:36.181 23.1C | 2.99 V
09:25:37.403 23.1C | 2.99 V
09:25:38.631 23.1C | 3.01 V
09:25:39.883 23.1C | 3.00 V
09:25:41.079 23.1C | 3.00 V
09:25:42.303 23.1C | 3.00 V
09:25:43.528 23.1C | 3.00 V
09:25:44.765 23.1C | 2.99 V
09:25:45.978 23.1C | 3.00 V
09:25:47.207 23.1C | 2.99 V
09:25:48.429 23.1C | 2.99 V
09:25:49.657 23.1C | 3.00 V
09:25:50.888 23.1C | 3.00 V
09:25:52.106 23.1C | 2.99 V
09:25:53.329 23.1C | 3.00 V
09:25:54.555 23.1C | 3.00 V
09:25:55.779 23.1C | 2.99 V
09:25:57.004 23.1C | 3.00 V
09:25:58.229 23.1C | 3.01 V
09:25:59.470 23.1C | 2.99 V
09:26:00.683 23.1C | 3.00 V
09:26:01.910 23.1C | 3.01 V
09:26:03.131 23.1C | 2.99 V
09:26:04.354 23.1C | 3.00 V
09:26:05.579 23.1C | 3.00 V
09:26:06.804 23.1C | 2.99 V
09:26:08.042 23.1C | 2.99 V
09:26:09.268 23.1C | 3.00 V
09:26:10.480 23.1C | 2.99 V
09:26:11.707 23.1C | 3.00 V
09:26:12.933 23.1C | 3.00 V
09:26:14.156 23.1C | 2.99 V
09:26:15.380 23.1C | 3.00 V
09:26:16.606 23.1C | 3.01 V
09:26:17.834 23.1C | 2.99 V
09:26:19.057 23.1C | 2.99 V
09:26:20.281 23.1C | 3.00 V
09:26:21.506 23.1C | 2.99 V
09:26:22.731 23.1C | 2.99 V
09:26:23.961 23.1C | 3.00 V
09:26:25.196 23.1C | 2.99 V
09:26:26.419 23.1C | 2.99 V
09:26:27.632 23.1C | 3.00 V
09:26:28.866 23.1C | 2.99 V
09:26:30.082 23.1C | 2.99 V
09:26:31.308 23.1C | 3.01 V
09:26:32.532 23.1C | 2.99 V
09:26:33.758 23.1C | 2.99 V
09:26:34.982 23.1C | 3.01 V
09:26:36.207 23.1C | 2.99 V
09:26:37.431 23.1C | 2.99 V
09:26:38.657 23.1C | 3.00 V
09:26:39.882 23.1C | 2.99 V
09:26:41.107 23.1C | 2.99 V
09:26:42.332 23.1C | 3.00 V
09:26:43.557 23.1C | 2.99 V
09:26:44.786 23.1C | 2.99 V
09:26:46.010 23.1C | 3.00 V
09:26:47.235 23.1C | 3.00 V
09:26:48.458 23.1C | 2.99 V
09:26:49.688 23.1C | 3.00 V
09:26:50.910 23.1C | 3.00 V
09:26:52.133 23.1C | 2.99 V
09:26:53.358 23.1C | 3.00 V
09:26:54.584 23.1C | 2.99 V
09:26:55.807 23.1C | 2.99 V
09:26:57.037 23.1C | 3.00 V
09:26:58.269 23.1C | 3.00 V
09:26:59.484 23.1C | 2.99 V
09:27:00.723 23.1C | 3.00 V
09:27:01.933 23.1C | 2.99 V
09:27:03.159 23.1C | 2.99 V
09:27:04.383 23.1C | 2.99 V
09:27:05.629 23.1C | 3.00 V
09:27:06.834 23.1C | 2.99 V
09:27:08.061 23.1C | 3.00 V
09:27:09.285 23.1C | 2.99 V
09:27:10.511 23.1C | 2.99 V
09:27:11.735 23.1C | 3.00 V
09:27:12.960 23.1C | 3.00 V
09:27:14.185 23.1C | 2.99 V
09:27:15.409 23.1C | 3.00 V
09:27:16.634 23.1C | 3.00 V
09:27:17.858 23.1C | 2.99 V
09:27:19.093 23.1C | 3.00 V
09:27:20.309 23.1C | 3.00 V
09:27:21.535 23.1C | 2.99 V
09:27:22.761 23.1C | 2.99 V
09:27:23.990 23.1C | 3.00 V
09:27:25.211 23.1C | 2.99 V
09:27:26.436 23.1C | 2.99 V
09:27:27.661 23.1C | 3.00 V
09:27:28.886 23.1C | 2.99 V
09:27:30.121 23.1C | 2.99 V
09:27:31.352 23.1C | 2.99 V
09:27:32.576 23.1C | 2.99 V
09:27:33.788 23.1C | 2.99 V
09:27:35.011 23.1C | 2.99 V
09:27:36.246 23.1C | 2.99 V
09:27:37.461 23.1C | 2.99 V
09:27:38.686 23.1C | 3.00 V
09:27:39.911 23.1C | 2.98 V
09:27:41.137 23.1C | 2.99 V
09:27:42.369 23.1C | 2.99 V
09:27:43.592 23.1C | 2.99 V
09:27:44.812 23.1C | 2.99 V
09:27:46.041 23.1C | 3.00 V
09:27:47.263 23.1C | 2.99 V
09:27:48.493 23.1C | 2.99 V
09:27:49.715 23.1C | 3.00 V
09:27:50.937 23.1C | 2.99 V
09:27:52.161 23.1C | 2.99 V
09:27:53.389 23.1C | 3.00 V
09:27:54.612 23.1C | 2.99 V
09:27:55.837 23.1C | 2.99 V
09:27:57.063 23.1C | 3.00 V
09:27:58.288 23.1C | 2.99 V
09:27:59.515 23.1C | 2.99 V
09:28:00.741 23.1C | 3.00 V
09:28:01.963 23.1C | 2.98 V
09:28:03.192 23.1C | 2.98 V
09:28:04.427 23.1C | 3.00 V
09:28:05.646 23.1C | 2.99 V
09:28:06.863 23.1C | 2.98 V
09:28:08.088 23.1C | 3.00 V
09:28:09.348 23.1C | 2.99 V
09:28:10.538 23.1C | 2.99 V
09:28:11.762 23.1C | 2.99 V
09:28:12.997 23.1C | 2.99 V
09:28:14.234 23.1C | 2.98 V
09:28:15.440 23.1C | 2.99 V
09:28:16.663 23.1C | 2.99 V
09:28:17.889 23.1C | 2.99 V
09:28:19.121 23.1C | 2.99 V
09:28:20.341 23.1C | 2.99 V
09:28:21.566 23.1C | 2.98 V
09:28:22.794 23.1C | 2.99 V
09:28:24.015 23.1C | 2.99 V
09:28:25.239 23.1C | 2.99 V
09:28:26.465 23.1C | 3.00 V
09:28:27.690 23.1C | 3.00 V
09:28:28.915 23.1C | 2.99 V
09:28:30.139 23.1C | 2.99 V
09:28:31.391 23.1C | 3.00 V
09:28:32.588 23.1C | 2.98 V
09:28:33.814 23.1C | 3.00 V
09:28:35.063 23.1C | 3.00 V
09:28:36.269 23.1C | 2.99 V
09:28:37.492 23.1C | 2.99 V
09:28:38.724 23.1C | 3.00 V
09:28:39.941 23.1C | 2.98 V
09:28:41.166 23.1C | 3.00 V
09:28:42.392 23.1C | 3.00 V
09:28:43.628 23.1C | 2.98 V
09:28:44.842 23.1C | 3.00 V
09:28:46.117 23.1C | 3.00 V
09:28:47.355 23.1C | 2.99 V
09:28:48.519 23.1C | 2.99 V
09:28:49.741 23.1C | 2.99 V
09:28:50.966 23.1C | 2.99 V
09:28:52.192 23.1C | 2.99 V
09:28:53.416 23.1C | 3.00 V
09:28:54.641 23.1C | 2.99 V
09:28:55.885 23.1C | 2.99 V
09:28:57.092 23.1C | 3.00 V
09:28:58.318 23.1C | 2.98 V
09:28:59.548 23.1C | 2.99 V
09:29:00.771 23.1C | 3.00 V
09:29:01.993 23.1C | 2.98 V
09:29:03.216 23.1C | 2.99 V
09:29:04.442 23.1C | 3.00 V
09:29:05.667 23.1C | 2.99 V
09:29:06.892 23.1C | 2.98 V
09:29:08.118 23.1C | 3.00 V
09:29:09.361 23.1C | 2.98 V
09:29:10.578 23.1C | 2.98 V
09:29:11.809 23.1C | 3.00 V
09:29:13.026 23.1C | 2.98 V
09:29:14.246 23.1C | 2.98 V
09:29:15.470 23.1C | 2.99 V
09:29:16.701 23.1C | 2.98 V
09:29:17.917 23.1C | 2.98 V
09:29:19.148 23.1C | 2.99 V
09:29:20.368 23.1C | 2.98 V
09:29:21.601 23.1C | 2.98 V
09:29:22.818 23.1C | 2.99 V
09:29:24.059 23.1C | 2.98 V
09:29:25.268 23.1C | 2.99 V
09:29:26.498 23.1C | 3.00 V
09:29:27.720 23.1C | 2.98 V
09:29:28.943 23.1C | 2.98 V
09:29:30.168 23.1C | 2.99 V
09:29:31.395 23.1C | 2.98 V
09:29:32.621 23.1C | 2.98 V
09:29:33.845 23.1C | 3.00 V
09:29:35.070 23.1C | 2.98 V
09:29:36.296 23.1C | 2.98 V
09:29:37.551 23.1C | 2.99 V
09:29:38.746 23.1C | 2.99 V
09:29:39.972 23.1C | 2.98 V
09:29:41.195 23.1C | 2.99 V
09:29:42.420 23.1C | 2.98 V
09:29:43.661 23.1C | 2.98 V
09:29:44.883 23.1C | 2.99 V
09:29:46.102 23.1C | 2.99 V
09:29:47.331 23.1C | 2.98 V
09:29:48.545 23.1C | 2.99 V
09:29:49.770 23.1C | 2.99 V
09:29:50.996 23.1C | 2.98 V
09:29:52.220 23.1C | 2.99 V
09:29:53.446 23.1C | 2.99 V
09:29:54.671 23.1C | 2.98 V
09:29:55.900 23.1C | 2.99 V
09:29:57.124 23.1C | 2.98 V
09:29:58.350 23.1C | 2.98 V
09:29:59.571 23.1C | 2.99 V
09:30:00.816 23.1C | 2.99 V
09:30:02.027 23.1C | 2.98 V
09:30:03.249 23.1C | 2.99 V
09:30:04.471 23.1C | 2.98 V
09:30:05.698 23.1C | 2.98 V
09:30:06.924 23.1C | 2.99 V
09:30:08.156 23.1C | 2.99 V
09:30:09.373 23.1C | 2.98 V
09:30:10.601 23.1C | 2.99 V
09:30:11.822 23.1C | 2.99 V
09:30:13.047 23.1C | 2.98 V
09:30:14.273 23.1C | 2.99 V
09:30:15.498 23.1C | 2.98 V
09:30:16.726 23.1C | 2.98 V
09:30:17.956 23.1C | 2.99 V
09:30:19.178 23.1C | 2.99 V
09:30:20.408 23.1C | 2.98 V
09:30:21.622 23.1C | 2.98 V
09:30:22.847 23.1C | 2.99 V
09:30:24.093 23.1C | 2.98 V
09:30:25.311 23.1C | 2.99 V
09:30:26.522 23.1C | 2.99 V
09:30:27.748 23.1C | 2.98 V
09:30:28.976 23.1C | 2.99 V
09:30:30.198 23.1C | 2.99 V
09:30:31.426 23.1C | 2.98 V
09:30:32.648 23.1C | 2.99 V
09:30:33.875 23.1C | 2.99 V
09:30:35.100 23.1C | 2.98 V
09:30:36.334 23.1C | 2.99 V
09:30:37.549 23.1C | 3.00 V
09:30:38.776 23.1C | 2.99 V
09:30:39.998 23.1C | 2.98 V
09:30:41.225 23.1C | 2.99 V
09:30:42.466 23.1C | 2.98 V
09:30:43.682 23.1C | 2.99 V
09:30:44.898 23.1C | 2.99 V
09:30:46.123 23.1C | 2.98 V
09:30:47.350 23.1C | 2.99 V
09:30:48.575 23.1C | 3.00 V
09:30:49.799 23.1C | 2.98 V
09:30:51.027 23.1C | 2.99 V
09:30:52.253 23.1C | 3.00 V
09:30:53.482 23.1C | 2.98 V
09:30:54.700 23.1C | 2.99 V
09:30:55.925 23.1C | 3.00 V
09:30:57.150 23.1C | 2.99 V
09:30:58.375 23.1C | 2.99 V
09:30:59.600 23.1C | 2.99 V
09:31:00.836 23.1C | 2.98 V
09:31:02.050 23.1C | 2.99 V
09:31:03.281 23.1C | 3.00 V
09:31:04.499 23.1C | 2.98 V
09:31:05.733 23.1C | 2.98 V
09:31:06.950 23.1C | 2.99 V
09:31:08.180 23.1C | 2.98 V
09:31:09.401 23.1C | 2.98 V
09:31:10.626 23.1C | 2.99 V
09:31:11.851 23.1C | 2.98 V
09:31:13.081 23.1C | 2.98 V
09:31:14.301 23.1C | 2.99 V
09:31:15.531 23.1C | 2.98 V
09:31:16.751 23.1C | 2.98 V
09:31:17.981 23.1C | 2.99 V
09:31:19.208 23.1C | 2.98 V
09:31:20.425 23.1C | 2.98 V
09:31:21.651 23.1C | 2.99 V
09:31:22.884 23.1C | 2.98 V
09:31:24.101 23.1C | 2.98 V
09:31:25.328 23.1C | 2.99 V
09:31:26.558 23.1C | 2.98 V
09:31:27.778 23.1C | 2.98 V
09:31:29.002 23.1C | 2.99 V
09:31:30.247 23.1C | 2.98 V
09:31:31.501 23.1C | 2.98 V
09:31:32.677 23.1C | 2.99 V
09:31:33.901 23.1C | 2.98 V
09:31:35.127 23.1C | 2.98 V
09:31:36.354 23.1C | 2.99 V
09:31:37.577 23.1C | 2.98 V
09:31:38.802 23.1C | 2.98 V
09:31:40.027 23.1C | 2.98 V
09:31:41.255 23.1C | 2.98 V
09:31:42.495 23.1C | 2.98 V
09:31:43.712 23.1C | 2.98 V
09:31:44.929 23.1C | 2.98 V
09:31:46.154 23.1C | 2.97 V
09:31:47.381 23.1C | 2.99 V
09:31:48.603 23.1C | 2.98 V
09:31:49.828 23.1C | 2.98 V
09:31:51.072 23.1C | 2.99 V
09:31:52.277 23.1C | 2.98 V
09:31:53.504 23.1C | 2.98 V
09:31:54.728 23.1C | 2.98 V
09:31:55.953 23.1C | 2.98 V
09:31:57.181 23.1C | 2.97 V
09:31:58.405 23.1C | 2.99 V
09:31:59.637 23.1C | 2.97 V
09:32:00.863 23.1C | 2.97 V
09:32:02.081 23.1C | 2.98 V
09:32:03.304 23.1C | 2.97 V
09:32:04.531 23.1C | 2.97 V
09:32:05.772 23.1C | 2.98 V
09:32:06.993 23.1C | 2.97 V
09:32:08.207 23.1C | 2.97 V
09:32:09.436 23.1C | 2.98 V
09:32:10.655 23.1C | 2.98 V
09:32:11.878 23.1C | 2.97 V
09:32:13.106 23.1C | 2.98 V
09:32:14.331 23.1C | 2.98 V
09:32:15.555 23.1C | 2.97 V
09:32:16.796 23.1C | 2.98 V
09:32:18.012 23.1C | 2.97 V
09:32:19.233 23.1C | 2.97 V
09:32:20.456 23.1C | 2.98 V
09:32:21.695 23.1C | 2.97 V
09:32:22.906 23.1C | 2.97 V
09:32:24.147 23.1C | 2.97 V
09:32:25.355 23.1C | 2.97 V
09:32:26.582 23.1C | 2.96 V
09:32:27.806 23.1C | 2.98 V
09:32:29.031 23.1C | 2.97 V
09:32:30.259 23.1C | 2.97 V
09:32:31.486 23.1C | 2.97 V
09:32:32.711 23.1C | 2.97 V
09:32:33.938 23.1C | 2.96 V
09:32:35.187 23.1C | 2.97 V
09:32:36.381 23.1C | 2.97 V
09:32:37.607 23.1C | 2.96 V
09:32:38.831 23.1C | 2.97 V
09:32:40.057 23.1C | 2.97 V
09:32:41.282 23.1C | 2.96 V
09:32:42.507 23.1C | 2.97 V
09:32:43.735 23.1C | 2.97 V
09:32:44.963 23.1C | 2.96 V
09:32:46.217 23.1C | 2.97 V
09:32:47.465 23.1C | 2.97 V
09:32:48.632 23.1C | 2.96 V
09:32:49.857 23.1C | 2.97 V
09:32:51.156 23.1C | 2.98 V
09:32:52.306 23.1C | 2.96 V
09:32:53.532 23.1C | 2.97 V
09:32:54.758 23.1C | 2.97 V
09:32:55.985 23.1C | 2.96 V
09:32:57.210 23.1C | 2.97 V
09:32:58.447 23.1C | 2.96 V
09:32:59.663 23.1C | 2.96 V
09:33:00.884 23.1C | 2.97 V
09:33:02.109 23.1C | 2.97 V
09:33:03.335 23.1C | 2.95 V
09:33:04.563 23.1C | 2.97 V
09:33:05.795 23.1C | 2.96 V
09:33:07.025 23.1C | 2.96 V
09:33:08.233 23.1C | 2.97 V
09:33:09.462 23.1C | 2.97 V
09:33:10.683 23.1C | 2.95 V
09:33:11.907 23.1C | 2.96 V
09:33:13.134 23.1C | 2.97 V
09:33:14.360 23.1C | 2.95 V
09:33:15.586 23.1C | 2.96 V
09:33:16.833 23.1C | 2.97 V
09:33:18.035 23.1C | 2.95 V
09:33:19.260 23.1C | 2.96 V
09:33:20.501 23.1C | 2.97 V
09:33:21.710 23.1C | 2.95 V
09:33:22.935 23.1C | 2.96 V
09:33:24.159 23.1C | 2.97 V
09:33:25.385 23.1C | 2.95 V
09:33:26.610 23.1C | 2.96 V
09:33:27.851 23.1C | 2.96 V
09:33:29.061 23.1C | 2.95 V
09:33:30.287 23.1C | 2.96 V
09:33:31.510 23.1C | 2.97 V
09:33:32.760 23.1C | 2.95 V
09:33:33.963 23.1C | 2.95 V
09:33:35.187 23.1C | 2.96 V
09:33:36.411 23.1C | 2.95 V
09:33:37.636 23.1C | 2.95 V
09:33:38.880 23.1C | 2.96 V
09:33:40.096 23.1C | 2.94 V
09:33:41.318 23.1C | 2.95 V
09:33:42.552 23.1C | 2.96 V
09:33:43.764 23.1C | 2.95 V
09:33:44.992 23.1C | 2.95 V
09:33:46.215 23.1C | 2.96 V
09:33:47.442 23.1C | 2.95 V
09:33:48.661 23.1C | 2.95 V
09:33:49.887 23.1C | 2.96 V
09:33:51.119 23.1C | 2.95 V
09:33:52.340 23.1C | 2.95 V
09:33:53.562 23.1C | 2.96 V
09:33:54.790 23.1C | 2.95 V
09:33:56.012 23.1C | 2.95 V
09:33:57.246 23.1C | 2.96 V
09:33:58.476 23.1C | 2.94 V
09:33:59.688 23.1C | 2.95 V
09:34:00.937 23.1C | 2.96 V
09:34:02.136 23.1C | 2.95 V
09:34:03.401 23.1C | 2.94 V
09:34:04.587 23.1C | 2.95 V
09:34:05.818 23.1C | 2.94 V
09:34:07.040 23.1C | 2.94 V
09:34:08.264 23.1C | 2.95 V
09:34:09.493 23.1C | 2.94 V
09:34:10.773 23.1C | 2.94 V
09:34:11.938 23.1C | 2.96 V
09:34:13.167 23.1C | 2.94 V
09:34:14.396 23.1C | 2.94 V
09:34:15.642 23.1C | 2.96 V
09:34:16.840 23.1C | 2.94 V
09:34:18.069 23.1C | 2.94 V
09:34:19.288 23.1C | 2.95 V
09:34:20.516 23.1C | 2.94 V
09:34:21.742 23.1C | 2.94 V
09:34:22.965 23.1C | 2.95 V
09:34:24.188 23.1C | 2.94 V
09:34:25.417 23.1C | 2.94 V
09:34:26.641 23.1C | 2.95 V
09:34:27.880 23.1C | 2.94 V
09:34:29.089 23.1C | 2.94 V
09:34:30.323 23.1C | 2.95 V
09:34:31.539 23.1C | 2.94 V
09:34:32.774 23.1C | 2.94 V
09:34:33.997 23.1C | 2.95 V
09:34:35.214 23.1C | 2.94 V
09:34:36.460 23.1C | 2.94 V
09:34:37.672 23.1C | 2.95 V
09:34:38.893 23.1C | 2.94 V
09:34:40.125 23.1C | 2.94 V
09:34:41.340 23.1C | 2.95 V
09:34:42.605 23.1C | 2.94 V
09:34:43.790 23.1C | 2.94 V
09:34:45.016 23.1C | 2.95 V
09:34:46.255 23.1C | 2.94 V
09:34:47.471 23.1C | 2.94 V
09:34:48.707 23.1C | 2.95 V
09:34:49.916 23.1C | 2.94 V
09:34:51.159 23.1C | 2.93 V
09:34:52.375 23.1C | 2.95 V
09:34:53.590 23.1C | 2.94 V
09:34:54.829 23.1C | 2.94 V
09:34:56.042 23.1C | 2.95 V
09:34:57.266 23.1C | 2.94 V
09:34:58.500 23.1C | 2.94 V
09:34:59.717 23.1C | 2.95 V
09:35:00.941 23.1C | 2.94 V
09:35:02.175 23.1C | 2.93 V
09:35:03.390 23.1C | 2.95 V
09:35:04.619 23.1C | 2.94 V
09:35:05.843 23.1C | 2.93 V
09:35:07.098 23.1C | 2.94 V
09:35:08.304 23.1C | 2.93 V
09:35:09.523 23.1C | 2.93 V
09:35:10.756 23.1C | 2.94 V
09:35:11.967 23.1C | 2.94 V
09:35:13.197 23.1C | 2.93 V
09:35:14.417 23.1C | 2.94 V
09:35:15.644 23.1C | 2.93 V
09:35:16.869 23.1C | 2.93 V
09:35:18.098 23.1C | 2.93 V
09:35:19.317 23.1C | 2.93 V
09:35:20.561 23.1C | 2.93 V
09:35:21.787 23.1C | 2.94 V
09:35:23.007 23.1C | 2.93 V
09:35:24.218 23.1C | 2.93 V
09:35:25.447 23.1C | 2.94 V
09:35:26.668 23.1C | 2.93 V
09:35:27.901 23.1C | 2.93 V
09:35:29.119 23.1C | 2.94 V
09:35:30.344 23.1C | 2.93 V
09:35:31.572 23.1C | 2.93 V
09:35:32.793 23.1C | 2.94 V
09:35:34.018 23.1C | 2.93 V
09:35:35.244 23.1C | 2.93 V
09:35:36.468 23.1C | 2.94 V
09:35:37.694 23.1C | 2.93 V
09:35:38.918 23.1C | 2.93 V
09:35:40.196 23.1C | 2.94 V
09:35:41.368 23.1C | 2.93 V
09:35:42.703 23.1C | 2.93 V
09:35:43.818 23.1C | 2.93 V
09:35:45.045 23.1C | 2.93 V
09:35:46.273 23.1C | 2.93 V
09:35:47.494 23.1C | 2.94 V
09:35:48.742 23.1C | 2.93 V
09:35:49.946 23.1C | 2.93 V
09:35:51.171 23.1C | 2.94 V
09:35:52.395 23.1C | 2.93 V
09:35:53.625 23.1C | 2.93 V
09:35:54.852 23.1C | 2.93 V
09:35:56.070 23.1C | 2.93 V
09:35:57.296 23.1C | 2.92 V
09:35:58.519 23.1C | 2.94 V
09:35:59.744 23.1C | 2.93 V
09:36:00.982 23.1C | 2.92 V
09:36:02.196 23.1C | 2.93 V
09:36:03.421 23.1C | 2.93 V
09:36:04.651 23.1C | 2.92 V
09:36:05.870 23.1C | 2.93 V
09:36:07.102 23.1C | 2.93 V
09:36:08.320 23.1C | 2.92 V
09:36:09.547 23.1C | 2.93 V
09:36:10.788 23.1C | 2.94 V
09:36:11.998 23.1C | 2.92 V
09:36:13.232 23.1C | 2.93 V
09:36:14.457 23.1C | 2.94 V
09:36:15.671 23.1C | 2.92 V
09:36:16.900 23.1C | 2.93 V
09:36:18.130 23.1C | 2.93 V
09:36:19.362 23.1C | 2.92 V
09:36:20.587 23.1C | 2.93 V
09:36:21.802 23.1C | 2.94 V
09:36:23.038 23.1C | 2.92 V
09:36:24.247 23.1C | 2.93 V
09:36:25.477 23.1C | 2.93 V
09:36:26.700 23.1C | 2.92 V
09:36:27.931 23.1C | 2.93 V
09:36:29.157 23.1C | 2.94 V
09:36:30.372 23.1C | 2.92 V
09:36:31.600 23.1C | 2.93 V
09:36:32.824 23.1C | 2.93 V
09:36:34.047 23.1C | 2.92 V
09:36:35.290 23.1C | 2.92 V
09:36:36.542 23.1C | 2.93 V
09:36:37.731 23.1C | 2.92 V
09:36:38.960 23.1C | 2.93 V
09:36:40.172 23.1C | 2.94 V
09:36:41.401 23.1C | 2.92 V
09:36:42.623 23.1C | 2.93 V
09:36:43.849 23.1C | 2.94 V
09:36:45.075 23.1C | 2.92 V
09:36:46.302 23.1C | 2.94 V
09:36:47.529 23.1C | 2.94 V
09:36:48.752 23.1C | 2.92 V
09:36:49.977 23.1C | 2.93 V
